match_id,season,date,venue,team1,team2,toss_winner,toss_decision,innings1_team,innings1_score,innings1_wickets,innings1_overs,innings2_team,innings2_score,innings2_wickets,innings2_overs,winner,margin,margin_type,day_night,nrr_team1,nrr_team2
39,2008,2008-04-18,"Arun Jaitley Stadium, Delhi",Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,229,8,19.9,Chennai Super Kings,93,3,15.9,Chennai Super Kings,7,wickets,False,5.663,-5.663
40,2008,2008-03-18,"Arun Jaitley Stadium, Delhi",Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,field,Lucknow Super Giants,172,5,19.0,Chennai Super Kings,189,7,18.0,Lucknow Super Giants,17,runs,True,-1.473,1.473
41,2008,2008-04-10,"M.A. Chidambaram Stadium, Chennai",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,bat,Chennai Super Kings,199,2,19.3,Lucknow Super Giants,189,4,17.7,Lucknow Super Giants,6,wickets,True,-0.349,0.349
42,2008,2008-04-13,"Rajiv Gandhi International Stadium, Hyderabad",Punjab Kings,Gujarat Titans,Gujarat Titans,bat,Punjab Kings,207,4,18.6,Gujarat Titans,126,2,11.5,Gujarat Titans,8,wickets,True,0.134,-0.134
43,2008,2008-03-21,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,224,9,19.6,Punjab Kings,171,5,13.8,Punjab Kings,5,wickets,True,-0.972,0.972
44,2008,2008-03-14,"M.A. Chidambaram Stadium, Chennai",Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,field,Lucknow Super Giants,216,7,18.2,Sunrisers Hyderabad,151,6,16.9,Sunrisers Hyderabad,4,wickets,False,2.884,-2.884
45,2008,2008-03-29,"M. Chinnaswamy Stadium, Bengaluru",Gujarat Titans,Punjab Kings,Punjab Kings,bat,Gujarat Titans,154,5,18.6,Punjab Kings,157,9,17.8,Gujarat Titans,3,runs,False,-0.536,0.536
46,2008,2008-04-27,"M. Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Mumbai Indians,124,2,20.0,Gujarat Titans,83,6,16.5,Gujarat Titans,4,wickets,False,1.171,-1.171
47,2008,2008-03-01,"M. Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,213,8,18.4,Sunrisers Hyderabad,82,9,16.6,Sunrisers Hyderabad,1,wickets,False,6.627,-6.627
48,2008,2008-03-23,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,225,3,19.7,Mumbai Indians,116,1,18.0,Mumbai Indians,9,wickets,True,4.981,-4.981
49,2008,2008-03-25,"Narendra Modi Stadium, Ahmedabad",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,170,3,18.2,Punjab Kings,184,5,17.5,Sunrisers Hyderabad,14,runs,True,-1.228,1.228
50,2008,2008-03-18,"Rajiv Gandhi International Stadium, Hyderabad",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,121,4,19.4,Chennai Super Kings,158,9,16.1,Rajasthan Royals,37,runs,False,-3.574,3.574
51,2008,2008-04-23,"Narendra Modi Stadium, Ahmedabad",Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,field,Lucknow Super Giants,165,3,18.2,Mumbai Indians,195,2,19.8,Lucknow Super Giants,30,runs,True,-0.774,0.774
52,2008,2008-03-28,"Arun Jaitley Stadium, Delhi",Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,147,9,18.6,Punjab Kings,142,6,17.0,Punjab Kings,4,wickets,True,-0.452,0.452
53,2008,2008-04-13,"Arun Jaitley Stadium, Delhi",Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,bat,Lucknow Super Giants,220,5,18.2,Chennai Super Kings,226,2,12.8,Lucknow Super Giants,6,runs,True,-5.62,5.62
54,2008,2008-03-13,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Punjab Kings,136,5,18.4,Sunrisers Hyderabad,222,6,13.2,Punjab Kings,86,runs,False,-9.479,9.479
55,2008,2008-03-23,"M. Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,field,Lucknow Super Giants,158,6,19.4,Rajasthan Royals,162,6,16.5,Lucknow Super Giants,4,runs,True,-1.661,1.661
56,2008,2008-04-15,"Sawai Mansingh Stadium, Jaipur",Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,177,4,19.0,Kolkata Knight Riders,201,7,18.9,Delhi Capitals,24,runs,True,-1.352,1.352
57,2008,2008-04-02,"Rajiv Gandhi International Stadium, Hyderabad",Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Delhi Capitals,177,8,19.0,Punjab Kings,86,2,10.7,Punjab Kings,8,wickets,True,1.3,-1.3
58,2008,2008-03-11,"Eden Gardens, Kolkata",Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Mumbai Indians,200,4,19.5,Royal Challengers Bengaluru,215,1,18.3,Mumbai Indians,15,runs,True,-1.503,1.503
59,2008,2008-04-20,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Punjab Kings,Punjab Kings,bat,Chennai Super Kings,175,4,19.9,Punjab Kings,91,9,17.7,Punjab Kings,1,wickets,True,3.651,-3.651
60,2008,2008-03-25,"Eden Gardens, Kolkata",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,156,2,18.4,Sunrisers Hyderabad,193,5,11.6,Chennai Super Kings,37,runs,False,-8.114,8.114
61,2008,2008-04-22,"Arun Jaitley Stadium, Delhi",Gujarat Titans,Lucknow Super Giants,Gujarat Titans,field,Gujarat Titans,208,9,18.3,Lucknow Super Giants,155,5,13.9,Lucknow Super Giants,5,wickets,False,0.246,-0.246
62,2008,2008-03-15,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,Rajasthan Royals,153,3,19.8,Mumbai Indians,221,1,12.3,Rajasthan Royals,68,runs,False,-10.204,10.204
63,2008,2008-04-23,"Sawai Mansingh Stadium, Jaipur",Gujarat Titans,Delhi Capitals,Gujarat Titans,bat,Gujarat Titans,149,3,19.7,Delhi Capitals,208,6,16.5,Gujarat Titans,59,runs,True,-5.044,5.044
64,2008,2008-03-15,"Eden Gardens, Kolkata",Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,216,4,19.7,Mumbai Indians,129,5,17.7,Mumbai Indians,5,wickets,True,3.677,-3.677
65,2008,2008-04-27,"Arun Jaitley Stadium, Delhi",Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,field,Lucknow Super Giants,162,4,19.0,Kolkata Knight Riders,207,5,11.0,Lucknow Super Giants,45,runs,True,-10.206,10.206
66,2008,2008-03-18,"M.A. Chidambaram Stadium, Chennai",Punjab Kings,Delhi Capitals,Punjab Kings,bat,Punjab Kings,154,3,18.0,Delhi Capitals,171,9,14.5,Punjab Kings,17,runs,True,-3.276,3.276
67,2008,2008-04-27,"M. Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Mumbai Indians,177,7,20.0,Delhi Capitals,200,6,14.8,Mumbai Indians,23,runs,True,-4.67,4.67
68,2009,2009-04-19,"Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,170,8,18.2,Rajasthan Royals,156,7,14.4,Rajasthan Royals,3,wickets,True,-1.506,1.506
69,2009,2009-04-23,"Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,bat,Lucknow Super Giants,210,7,19.5,Kolkata Knight Riders,175,4,11.2,Kolkata Knight Riders,6,wickets,False,-4.802,4.802
70,2009,2009-04-24,"Ekana Cricket Stadium, Lucknow",Gujarat Titans,Rajasthan Royals,Rajasthan Royals,bat,Gujarat Titans,155,9,18.8,Rajasthan Royals,91,8,10.8,Rajasthan Royals,2,wickets,True,-0.154,0.154
71,2009,2009-04-23,"Narendra Modi Stadium, Ahmedabad",Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,bat,Lucknow Super Giants,126,4,18.1,Royal Challengers Bengaluru,135,1,16.8,Lucknow Super Giants,9,runs,True,-1.096,1.096
72,2009,2009-04-15,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Mumbai Indians,162,2,18.5,Gujarat Titans,95,6,18.6,Gujarat Titans,4,wickets,False,3.659,-3.659
73,2009,2009-04-25,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,bat,Royal Challengers Bengaluru,196,9,19.3,Punjab Kings,118,3,18.5,Punjab Kings,7,wickets,True,3.764,-3.764
74,2009,2009-03-21,"Arun Jaitley Stadium, Delhi",Gujarat Titans,Royal Challengers Bengaluru,Gujarat Titans,bat,Gujarat Titans,132,4,19.8,Royal Challengers Bengaluru,209,2,10.8,Gujarat Titans,77,runs,True,-12.59,12.59
75,2009,2009-04-18,"Ekana Cricket Stadium, Lucknow",Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,bat,Kolkata Knight Riders,205,5,18.3,Gujarat Titans,97,6,20.0,Gujarat Titans,4,wickets,True,6.362,-6.362
76,2009,2009-03-14,"Ekana Cricket Stadium, Lucknow",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Kolkata Knight Riders,157,3,18.7,Mumbai Indians,92,1,12.0,Mumbai Indians,9,wickets,False,0.728,-0.728
77,2009,2009-03-07,"Eden Gardens, Kolkata",Gujarat Titans,Punjab Kings,Gujarat Titans,bat,Gujarat Titans,217,9,19.5,Punjab Kings,155,5,12.8,Punjab Kings,5,wickets,True,-0.941,0.941
78,2009,2009-03-10,"Ekana Cricket Stadium, Lucknow",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,228,7,19.2,Kolkata Knight Riders,172,6,13.0,Kolkata Knight Riders,4,wickets,False,-1.351,1.351
79,2009,2009-04-29,"Narendra Modi Stadium, Ahmedabad",Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,bat,Lucknow Super Giants,126,6,19.6,Chennai Super Kings,167,8,14.4,Lucknow Super Giants,41,runs,True,-5.176,5.176
80,2009,2009-03-28,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,149,8,18.4,Delhi Capitals,105,6,11.0,Delhi Capitals,4,wickets,True,-1.418,1.418
81,2009,2009-04-14,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,223,9,18.2,Delhi Capitals,124,1,12.5,Delhi Capitals,9,wickets,False,2.297,-2.297
82,2009,2009-04-09,"Eden Gardens, Kolkata",Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,213,2,18.8,Delhi Capitals,196,1,17.0,Delhi Capitals,9,wickets,False,-0.193,0.193
83,2009,2009-03-10,"Sawai Mansingh Stadium, Jaipur",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,Kolkata Knight Riders,151,2,19.7,Rajasthan Royals,104,1,15.1,Rajasthan Royals,9,wickets,True,0.759,-0.759
84,2009,2009-03-07,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,178,4,18.6,Rajasthan Royals,169,3,14.8,Rajasthan Royals,7,wickets,True,-1.873,1.873
85,2009,2009-03-27,"Ekana Cricket Stadium, Lucknow",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,174,5,19.4,Punjab Kings,108,2,10.5,Punjab Kings,8,wickets,False,-1.353,1.353
86,2009,2009-04-25,"M.A. Chidambaram Stadium, Chennai",Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,bat,Mumbai Indians,136,2,19.2,Lucknow Super Giants,151,3,15.7,Mumbai Indians,15,runs,True,-2.554,2.554
87,2009,2009-04-14,"Narendra Modi Stadium, Ahmedabad",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,170,3,19.5,Rajasthan Royals,229,8,12.5,Mumbai Indians,59,runs,True,-9.56,9.56
88,2009,2009-04-13,"Ekana Cricket Stadium, Lucknow",Gujarat Titans,Punjab Kings,Gujarat Titans,bat,Gujarat Titans,200,8,18.6,Punjab Kings,162,8,16.0,Punjab Kings,2,wickets,False,0.611,-0.611
89,2009,2009-03-22,"Wankhede Stadium, Mumbai",Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Delhi Capitals,200,4,18.0,Kolkata Knight Riders,185,2,17.3,Kolkata Knight Riders,8,wickets,True,0.364,-0.364
90,2009,2009-03-29,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Kolkata Knight Riders,145,3,18.3,Sunrisers Hyderabad,180,7,11.7,Kolkata Knight Riders,35,runs,True,-7.417,7.417
91,2009,2009-03-19,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bengaluru,183,6,18.3,Mumbai Indians,165,9,18.8,Mumbai Indians,1,wickets,True,1.25,-1.25
92,2009,2009-03-07,"Wankhede Stadium, Mumbai",Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,field,Chennai Super Kings,134,4,19.3,Royal Challengers Bengaluru,226,8,10.2,Chennai Super Kings,92,runs,True,-15.264,15.264
93,2009,2009-03-22,"M. Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,Sunrisers Hyderabad,140,6,18.8,Gujarat Titans,192,7,17.3,Sunrisers Hyderabad,52,runs,True,-3.676,3.676
94,2009,2009-04-26,"Sawai Mansingh Stadium, Jaipur",Lucknow Super Giants,Punjab Kings,Punjab Kings,field,Lucknow Super Giants,223,2,19.6,Punjab Kings,133,5,14.1,Punjab Kings,5,wickets,False,1.936,-1.936
95,2009,2009-03-07,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,159,9,18.4,Delhi Capitals,182,2,18.6,Kolkata Knight Riders,23,runs,True,-1.129,1.129
96,2009,2009-04-17,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,191,5,19.0,Rajasthan Royals,93,7,17.3,Rajasthan Royals,3,wickets,True,4.662,-4.662
97,2009,2009-03-29,"Ekana Cricket Stadium, Lucknow",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Kolkata Knight Riders,214,8,18.2,Chennai Super Kings,80,2,17.4,Chennai Super Kings,8,wickets,False,7.17,-7.17
98,2009,2009-03-18,"Rajiv Gandhi International Stadium, Hyderabad",Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,field,Gujarat Titans,189,5,18.6,Kolkata Knight Riders,132,6,15.8,Kolkata Knight Riders,4,wickets,True,1.791,-1.791
99,2009,2009-03-10,"Sawai Mansingh Stadium, Jaipur",Delhi Capitals,Lucknow Super Giants,Delhi Capitals,bat,Delhi Capitals,157,5,18.8,Lucknow Super Giants,195,2,11.6,Delhi Capitals,38,runs,True,-8.413,8.413
100,2009,2009-03-16,"M. Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,Mumbai Indians,172,8,19.8,Lucknow Super Giants,131,3,12.0,Lucknow Super Giants,7,wickets,False,-2.194,2.194
101,2009,2009-03-08,"M. Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,120,5,19.9,Mumbai Indians,116,6,15.0,Mumbai Indians,4,wickets,False,-1.732,1.732
102,2009,2009-03-04,"Rajiv Gandhi International Stadium, Hyderabad",Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,204,9,20.0,Chennai Super Kings,172,9,19.5,Chennai Super Kings,1,wickets,False,1.409,-1.409
103,2009,2009-03-05,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,bat,Kolkata Knight Riders,209,8,19.2,Gujarat Titans,140,5,11.7,Gujarat Titans,5,wickets,False,-1.148,1.148
104,2009,2009-03-06,"Arun Jaitley Stadium, Delhi",Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,201,4,18.7,Mumbai Indians,205,4,17.6,Gujarat Titans,4,runs,True,-0.923,0.923
105,2009,2009-03-14,"M.A. Chidambaram Stadium, Chennai",Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,field,Lucknow Super Giants,199,2,18.5,Delhi Capitals,106,8,11.8,Delhi Capitals,2,wickets,True,1.753,-1.753
106,2009,2009-03-05,"Rajiv Gandhi International Stadium, Hyderabad",Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,field,Chennai Super Kings,183,8,18.7,Royal Challengers Bengaluru,160,5,12.5,Royal Challengers Bengaluru,5,wickets,False,-3.019,3.019
