match_id,date_utc,team1,team2,venue
5030,2026-04-10T14:00:00Z,Mumbai Indians,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bengaluru"
5031,2026-04-11T14:00:00Z,Mumbai Indians,Gujarat Titans,"M. Chinnaswamy Stadium, Bengaluru"
5032,2026-04-12T14:00:00Z,Royal Challengers Bengaluru,Punjab Kings,"Eden Gardens, Kolkata"
5033,2026-04-13T14:00:00Z,Lucknow Super Giants,Royal Challengers Bengaluru,"Eden Gardens, Kolkata"
5034,2026-04-14T14:00:00Z,Sunrisers Hyderabad,Gujarat Titans,"M. Chinnaswamy Stadium, Bengaluru"
5035,2026-04-15T14:00:00Z,Delhi Capitals,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur"
5036,2026-04-16T14:00:00Z,Royal Challengers Bengaluru,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad"
5037,2026-04-17T14:00:00Z,Sunrisers Hyderabad,Rajasthan Royals,"Arun Jaitley Stadium, Delhi"
5038,2026-04-18T14:00:00Z,Mumbai Indians,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali"
5039,2026-04-19T14:00:00Z,Gujarat Titans,Kolkata Knight Riders,"M.A. Chidambaram Stadium, Chennai"
5040,2026-04-20T14:00:00Z,Mumbai Indians,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur"
5041,2026-04-21T14:00:00Z,Mumbai Indians,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad"
5042,2026-04-22T14:00:00Z,Royal Challengers Bengaluru,Kolkata Knight Riders,"Ekana Cricket Stadium, Lucknow"
5043,2026-04-23T14:00:00Z,Delhi Capitals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad"
5044,2026-04-24T14:00:00Z,Rajasthan Royals,Royal Challengers Bengaluru,"Rajiv Gandhi International Stadium, Hyderabad"
5045,2026-04-25T14:00:00Z,Mumbai Indians,Lucknow Super Giants,"M.A. Chidambaram Stadium, Chennai"
5046,2026-04-26T14:00:00Z,Royal Challengers Bengaluru,Punjab Kings,"Arun Jaitley Stadium, Delhi"
5047,2026-04-27T14:00:00Z,Kolkata Knight Riders,Punjab Kings,"Narendra Modi Stadium, Ahmedabad"
5048,2026-04-28T14:00:00Z,Mumbai Indians,Lucknow Super Giants,"Arun Jaitley Stadium, Delhi"
